row_id,market,board_pathway,standard,limb,metric_field,op,value,unit_ccy,or_group,basis_note,rule_citation,official_source_url,effective_from,threshold_verified,review_status,human_signoff,reviewer_notes
BJ-S1a-2,CN,BSE,Std 1 (branch A),net profit each of last 2 FYs,financials.net_profit_regulatory_cn_each[2fy],>=,"15,000,000",CNY,,扣非前后孰低 basis (net profit & ROE per BSE rule),2.1.3(一),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S1a-3,CN,BSE,Std 1 (branch A),avg weighted ROE (2 FYs),financials.metrics.weighted_avg_roe_avg_2fy,>=,8%,%,,,2.1.3(一),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S1b-1,CN,BSE,Std 1 (branch B),expected market cap,offering.expected_market_cap_at_listing,>=,"200,000,000",CNY,,,2.1.3(一),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S1b-2,CN,BSE,Std 1 (branch B),latest-FY net profit,financials.net_profit_regulatory_cn_latest,>=,"25,000,000",CNY,,扣非前后孰低 basis (net profit & ROE per BSE rule),2.1.3(一),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S1b-3,CN,BSE,Std 1 (branch B),latest-FY weighted ROE,financials.metrics[latest].weighted_avg_roe,>=,8%,%,,,2.1.3(一),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S2-1,CN,BSE,Std 2,expected market cap,offering.expected_market_cap_at_listing,>=,"400,000,000",CNY,,,2.1.3(二),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S2-2,CN,BSE,Std 2,avg revenue last 2 FYs,financials.revenue_avg_2fy,>=,"100,000,000",CNY,,,2.1.3(二),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S2-3,CN,BSE,Std 2,latest-FY revenue YoY growth,financials.revenue_yoy_growth_latest,>=,30%,%,,,2.1.3(二),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S2-4,CN,BSE,Std 2,latest-FY operating cash flow,financials.cash_flow[latest].net_operating_cash_flow,>,0,CNY,,,2.1.3(二),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S3-1,CN,BSE,Std 3,expected market cap,offering.expected_market_cap_at_listing,>=,"800,000,000",CNY,,,2.1.3(三),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S3-2,CN,BSE,Std 3,latest-FY revenue,financials.income_statement[latest].revenue,>=,"200,000,000",CNY,,,2.1.3(三),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S3-3,CN,BSE,Std 3,2-yr R&D / 2-yr revenue,financials.rd_ratio_2fy_cn,>=,8%,%,,,2.1.3(三),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S4-1,CN,BSE,Std 4,expected market cap,offering.expected_market_cap_at_listing,>=,"1,500,000,000",CNY,,,2.1.3(四),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
BJ-S4-2,CN,BSE,Std 4,2-yr aggregate R&D expenditure,financials.rd_agg_2fy_cn,>=,"50,000,000",CNY,,,2.1.3(四),https://www.bse.cn/cxjg_list/200018002.html,current,web_verified_2026-07-24,,,
"PRC A-SHARE — CSRC ISSUANCE PRECONDITIONS (all registration-system boards)  |  pack: cn_csrc_preconditions.yaml  |  《首次公开发行股票注册管理办法》(令205号, 2023-02-17) Arts.10-13",,,,,,,,,,,,,,,,,
CS-10,CN,MB / STAR / ChiNext,Art.10,continuous operation years,profile.operating_track_record_years,>=,3,years,,LLC whole-conversion counts from LLC inception,注册管理办法 第十条,https://www.gov.cn/gongbao/content/2023/content_5750669.htm,2023-02-17,web_verified_2026-07-24,,,
CS-11a,CN,MB / STAR / ChiNext,Art.11,audit opinions last 3 FYs,profile.audit_opinion_type[3fy],=,standard unqualified (each FY),enum,,,第十一条,https://www.gov.cn/gongbao/content/2023/content_5750669.htm,2023-02-17,web_verified_2026-07-24,,,
CS-11b,CN,MB / STAR / ChiNext,Art.11,internal-control assurance,profile.internal_control_assurance_unqualified,=,TRUE,bool,,Unqualified IC assurance report by CPA,第十一条,https://www.gov.cn/gongbao/content/2023/content_5750669.htm,2023-02-17,web_verified_2026-07-24,,,
CS-12a,CN,MB / STAR / ChiNext,Art.12(1),independence / no material adverse competition / no unfair RPTs,soft: connected_transaction_independence + competing_business,=,DEFERRED_REVIEW,enum,,Maps to existing soft-signal registry,第十二条(一),https://www.gov.cn/gongbao/content/2023/content_5750669.htm,2023-02-17,web_verified_2026-07-24,,,
CS-12b,CN,MB / STAR / ChiNext,Art.12(2),main business & directors/senior mgmt: no material adverse change,profile.management_continuity_years,>=,"3 (Main Board) / 2 (STAR, ChiNext)",years,,STAR additionally: core technical personnel stable 2y,第十二条(二),https://www.gov.cn/gongbao/content/2023/content_5750669.htm,2023-02-17,web_verified_2026-07-24,,,
CS-12c,CN,MB / STAR / ChiNext,Art.12(3),actual controller unchanged; share ownership clear,profile.control_unchanged_years,>=,"3 (Main Board) / 2 (STAR, ChiNext)",years,,Clear title; no disputes threatening control change,第十二条(三),https://www.gov.cn/gongbao/content/2023/content_5750669.htm,2023-02-17,web_verified_2026-07-24,,,
CS-13,CN,MB / STAR / ChiNext,Art.13,legal compliance negative list,soft: legal_compliance_cn,=,DEFERRED_REVIEW,enum,,Crimes/major violations lookbacks; deferred leaf,第十三条,https://www.gov.cn/gongbao/content/2023/content_5750669.htm,2023-02-17,web_verified_2026-07-24,,,
CS-BJ-1,CN,BSE,北交所注册管理办法 Art.9-10,"issuance preconditions: NEEQ innovation-layer 12m (Art.9, mirrors BSE rule 2.1.2(一)); sound organisation; going-concern capability + good financial condition; last 3 FYs financial reports free of false records AND unqualified audit opinions; lawful & compliant operation (Art.10(一)-(四))",profile.audit_opinion_type[3fy] + soft: bse_going_concern,=,see limbs,mixed,,"《北交所向不特定合格投资者公开发行股票注册管理办法》(2023修订, 废止2021年令第187号)","Art.9, Art.10",https://www.moj.gov.cn/pub/sfbgw/flfggz/flfggzbmgz/202306/t20230619_480985.html,2023-06,web_verified_2026-07-24,,,
CS-BJ-2,CN,BSE,北交所注册管理办法 Art.11 negative list,issuer/controlling shareholder/actual controller must NOT have: criminal offences (corruption/bribery/property/market order) in last 3 years; fraudulent issuance or major disclosure violations or national/public/eco/production/health-safety violations in last 3 years; CSRC administrative penalty in last 1 year,soft: legal_compliance_bse,=,DEFERRED_REVIEW,enum,,Deterministic where records exist; deferred leaf for assessment,Art.11(一)-(三),https://www.moj.gov.cn/pub/sfbgw/flfggz/flfggzbmgz/202306/t20230619_480985.html,2023-06,web_verified_2026-07-24,,,
"HONG KONG — HKEX MAIN BOARD  |  pack: hkex_main_board.yaml (EXISTING, verified 2026-06-29 in repo) — restated for cross-market view; do not re-encode",,,,,,,,,,,,,,,,,
HK-C-0,HK,Main Board,8.05(1)(a),trading record,profile.operating_track_record_years,>=,3,FYs,,"Shorter record possible under 8.05A/8.05B (e.g. mineral companies, newly formed project companies) — out of scope this phase",MB LR 8.05(1)(a),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,web_verified_2026-07-24,,,
HK-S1-1,HK,Main Board,8.05(1) profit test,3-yr aggregate profit attributable to owners,financials.profit_attributable_to_owners_aggregate_track_record,>=,"80,000,000",HKD,,"Profits from ordinary and continuing operations, attributable to shareholders",MB LR 8.05(1),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-S1-2,HK,Main Board,8.05(1),latest-FY profit,financials.income_statement[latest].profit_attributable_to_owners,>=,"35,000,000",HKD,,,8.05(1),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-S1-3,HK,Main Board,8.05(1),two preceding FYs aggregate profit,financials.profit_attributable_to_owners_aggregate_two_preceding_years,>=,"45,000,000",HKD,,,8.05(1),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-S1-4,HK,Main Board,8.05(1),expected market cap,offering.expected_market_cap_at_listing,>=,"500,000,000",HKD,,,8.09(2),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-S2-1,HK,Main Board,8.05(2) mkt cap/rev/cashflow,expected market cap,offering.expected_market_cap_at_listing,>=,"2,000,000,000",HKD,,,8.05(2),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-S2-2,HK,Main Board,8.05(2),latest-FY revenue,financials.income_statement[latest].revenue,>=,"500,000,000",HKD,,,8.05(2),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-S2-3,HK,Main Board,8.05(2),3-yr aggregate operating cash flow,financials.operating_cash_flow_aggregate_track_record,>=,"100,000,000",HKD,,,8.05(2),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-S3-1,HK,Main Board,8.05(3) mkt cap/revenue,expected market cap,offering.expected_market_cap_at_listing,>=,"4,000,000,000",HKD,,,8.05(3),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-S3-2,HK,Main Board,8.05(3),latest-FY revenue,financials.income_statement[latest].revenue,>=,"500,000,000",HKD,,,8.05(3),https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-C-1,HK,Main Board,continuity,management continuity,profile.management_continuity_years,>=,3,FYs,,,8.05,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-C-2,HK,Main Board,continuity,ownership continuity,profile.ownership_continuity_recent_audited_fy,=,TRUE,bool,,Most recent audited FY,8.05,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HONG KONG — CHAPTER 8A WVR  |  pack: hkex_ch8a_wvr.yaml (EXISTING) — restated,,,,,,,,,,,,,,,,,
HK-8A-1a,HK,MB Ch.8A WVR,8A.06 (alt 1),expected market cap,offering.expected_market_cap_at_listing,>=,"40,000,000,000",HKD,,WVR issuer route 1,8A.06,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-8A-2a,HK,MB Ch.8A WVR,8A.06 (alt 2),expected market cap,offering.expected_market_cap_at_listing,>=,"10,000,000,000",HKD,,,8A.06,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-8A-2b,HK,MB Ch.8A WVR,8A.06 (alt 2),latest-FY revenue,financials.income_statement[latest].revenue,>=,"1,000,000,000",HKD,,,8A.06,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-8A-3,HK,MB Ch.8A WVR,8A.12,WVR beneficiaries' economic interest at listing,company.wvr_beneficiaries_economic_interest_pct,>=,10%,%,,Floor (also <=50% cap per 8A.12),8A.12,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HONG KONG — CHAPTER 18A BIOTECH  |  pack: hkex_ch18a.yaml (existing stub — build out; verify each limb against 18A.03 text at encode),,,,,,,,,,,,,,,,,
HK-18A-0,HK,MB Ch.18A,18A.03(3),in operation in current line of business under substantially same management,profile.operating_track_record_years,>=,2,FYs,,,18A.03(3),https://www.hkex.com.hk/-/media/hkex-market/listing/rules-and-guidance/listing-rules-contingency/main-board-listing-rules/equity-securities/chapter_18a.pdf?la=en,current,web_verified_2026-07-24,,,
HK-18A-1,HK,MB Ch.18A,18A.03,expected market cap,offering.expected_market_cap_at_listing,>=,"1,500,000,000",HKD,,Expected market cap at listing,18A.03(2),https://www.hkex.com.hk/-/media/hkex-market/listing/rules-and-guidance/listing-rules-contingency/main-board-listing-rules/equity-securities/chapter_18a.pdf?la=en,current,web_verified_2026-07-24,,,
HK-18A-2,HK,MB Ch.18A,18A.03,biotech core product beyond concept stage (pharma: Phase I complete + no objection to Phase II),company.biotech_core_product_stage,=,DEFERRED_REVIEW,enum,,Core product beyond concept stage (pharma: completed Phase I + no objection to Phase II); registered IP; deferred leaf,18A.03 + GL92-18,https://www.hkex.com.hk/-/media/hkex-market/listing/rules-and-guidance/listing-rules-contingency/main-board-listing-rules/equity-securities/chapter_18a.pdf?la=en,current,web_verified_2026-07-24,,,
HK-18A-3,HK,MB Ch.18A,18A.03,R&D on core product before listing,company.core_product_rd_months,>=,12,months,,,18A.03 + GL92-18,https://www.hkex.com.hk/-/media/hkex-market/listing/rules-and-guidance/listing-rules-contingency/main-board-listing-rules/equity-securities/chapter_18a.pdf?la=en,current,web_verified_2026-07-24,,,
HK-18A-4,HK,MB Ch.18A,18A.03,"meaningful sophisticated investor investment >= 6 months before listing, RETAINED at IPO",company.sophisticated_investor_present,=,DEFERRED_REVIEW,enum,,,18A.03 + GL92-18,https://www.hkex.com.hk/-/media/hkex-market/listing/rules-and-guidance/listing-rules-contingency/main-board-listing-rules/equity-securities/chapter_18a.pdf?la=en,current,web_verified_2026-07-24,,,
HK-18A-5,HK,MB Ch.18A,18A.03,working capital covering >= 125% of group costs for >= 12 months from listing-document date (incl. IPO proceeds; costs substantially = G&A/operating + R&D),financials.working_capital_coverage_pct,>=,125%,%,,,18A.03(4),https://www.hkex.com.hk/-/media/hkex-market/listing/rules-and-guidance/listing-rules-contingency/main-board-listing-rules/equity-securities/chapter_18a.pdf?la=en,current,web_verified_2026-07-24,,,
HK-18A-6,HK,MB Ch.18A,18A.07,public-held shares market cap at listing (EXCLUDING cornerstone allocations and existing-shareholder subscriptions),offering.public_hands_market_value_ex_cornerstone,>=,"375,000,000",HKD,,FLAG: 2025-08-04 reform replaced biotech-specific free-float requirements with MB 8.08A — confirm 18A.07 current status before encode,18A.07,https://www.hkex.com.hk/-/media/hkex-market/listing/rules-and-guidance/listing-rules-contingency/main-board-listing-rules/equity-securities/chapter_18a.pdf?la=en,current,pending_text_check,,,
"HONG KONG — CHAPTER 18C SPECIALIST TECHNOLOGY  |  pack: hkex_ch18c.yaml (EXISTING, verified) — NOTE Diff D-1: free-float gate re-anchored to MB 8.08A (2025-08-04)",,,,,,,,,,,,,,,,,
HK-18C-1,HK,MB Ch.18C,Commercial,"specialist tech segment revenue, latest FY",financials.specialist_technology_segment_revenue[latest],>=,"250,000,000",HKD,,,18C.03,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-18C-2,HK,MB Ch.18C,Commercial,expected market cap,offering.expected_market_cap_at_listing,>=,"4,000,000,000 (temp; 6,000,000,000 base)",HKD,,Temp reduction: application <=2027-08-31 AND listing >=2024-09-01 (encoded conditional override),18C.03 + 2024 amendment,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,2024-09-01,repo_verified_2026-06-29,,,
HK-18C-3,HK,MB Ch.18C,Pre-commercial,expected market cap,offering.expected_market_cap_at_listing,>=,"8,000,000,000 (temp; 10,000,000,000 base)",HKD,,Same temp window,18C.03,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,2024-09-01,repo_verified_2026-06-29,,,
HK-18C-4,HK,MB Ch.18C,Both,R&D period on specialist tech products,rd_ip.years_of_rd_on_specialist_technology_products,>=,3,years,,,18C.04,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-18C-5,HK,MB Ch.18C,Both,R&D expenditure ratio (tiered),financials.rd_ratio_per_fy_hk,>=,15% commercial / 30% or 50% pre-commercial tiers,%,,Tier by revenue/mkt-cap per 18C.04; denominator = total operating expenditure,18C.04,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-18C-6,HK,MB Ch.18C,Both,independent price-setting investors share of offer,offering.pct_ipo_shares_to_independent_price_setting_investors,>=,50%,%,,RETAINED after 2025-08-04 reform (18C exempt from new 40% placing rule) — Diff D-3,18C.08 / 19C.09,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HK-18C-7,HK,MB Ch.18C,Both,free float (SUPERSEDED -> 8.08A),offering.free_float_market_value_at_listing,see,"HK-F-4/5 (8.08A): >=10% AND >=HK$50M, OR >=HK$600M",HKD,,Diff D-1: former 18C-specific HK$600M free-float replaced by MB 8.08A from 2025-08-04; update existing YAML citation,MB 8.08A (was 18C),https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HK-18C-8,HK,MB Ch.18C,Both,controlling shareholder lock-up,company.controlling_shareholder_lockup_months,>=,12 commercial / 24 pre-commercial,months,,,18C,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-main-board,current,repo_verified_2026-06-29,,,
HONG KONG — INITIAL PUBLIC FLOAT & FREE FLOAT (applies to MB and GEM listings with listing documents on/after 2025-08-04)  |  pack: hkex_public_float.yaml (NEW),,,,,,,,,,,,,,,,,
HK-F-1,HK,MB + GEM,8.08(1) Tier A,public float where expected market value <= HK$6bn,offering.public_float_pct,>=,25%,%,,Tiered by expected market value of listed class,MB 8.08(1) / GEM 13.37B,https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HK-F-2,HK,MB + GEM,8.08(1) Tier B,>HK$6bn to <=HK$30bn,offering.public_float_pct,>=,higher of: % giving HK$1.5bn public value; 15%,%,,,8.08(1) / 13.37B,https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HK-F-3,HK,MB + GEM,8.08(1) Tier C,>HK$30bn,offering.public_float_pct,>=,higher of: % giving HK$4.5bn public value; 10% (>HK$45bn case-by-case),%,,,8.08(1) / 13.37B,https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HK-F-4,HK,MB + GEM,8.08A free float (alt 1),unrestricted public shares: % and value,offering.free_float_pct_and_value,>=,10% of listed shares AND HK$50M (GEM: HK$15M),mixed,HK-F-G1,OR-group with HK-F-5,MB 8.08A / GEM 11.23A,https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HK-F-5,HK,MB + GEM,8.08A free float (alt 2),unrestricted public shares market value,offering.free_float_market_value_at_listing,>=,"600,000,000",HKD,HK-F-G1,,8.08A / 11.23A,https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HK-F-6,HK,MB + GEM,8.09(1),market value of publicly held listed shares,offering.public_hands_market_value,>=,"125,000,000 (GEM: 45,000,000)",HKD,,HK-listed publicly held shares only,8.09(1) / 11.23(2),https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HK-F-7,HK,MB + GEM,8.08(2),minimum shareholders at listing,offering.shareholders_at_listing,>=,300 (GEM: 100),count,,,8.08(2) / 11.23(2)(b),https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HK-F-8,HK,MB + GEM,A+H / other-listed-shares,H shares listed on HKEX,offering.h_share_portion,>=,10% of issued shares OR expected value HK$3bn,mixed,,A+H issuers; publicly held H shares same thresholds; A shares no longer count toward float numerator,19A rules (amended),https://www.hkex.com.hk/-/media/HKEX-Market/News/Market-Consultations/2016-Present/December-2024-Optimise-IPO-Price/Conclusions-Aug-2025/cp202412cc.pdf,2025-08-04,web_verified_2026-07-24,,,
HONG KONG — GEM  |  pack: hkex_gem.yaml (NEW)  |  GEM LR Ch.11 — meet >=1 of 2 tests (reforms effective 2024-01-01),,,,,,,,,,,,,,,,,
GEM-T1-1,HK,GEM,Cashflow test,trading record,profile.operating_track_record_years,>=,2,FYs,,,GEM LR 11.12A,https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-T1-2,HK,GEM,Cashflow test,2-yr aggregate positive operating cash flow,financials.operating_cash_flow_aggregate_2fy,>=,"30,000,000",HKD,,,11.12A,https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-T1-3,HK,GEM,Cashflow test,expected market cap,offering.expected_market_cap_at_listing,>=,"150,000,000",HKD,,,11.23,https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-T2-1,HK,GEM,Mkt cap/rev/R&D test,trading record,profile.operating_track_record_years,>=,2,FYs,,,11.12A(4),https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-T2-2,HK,GEM,Mkt cap/rev/R&D test,expected market cap,offering.expected_market_cap_at_listing,>=,"250,000,000",HKD,,,11.12A(4),https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-T2-3,HK,GEM,Mkt cap/rev/R&D test,2-yr aggregate revenue,financials.revenue_aggregate_2fy,>=,"100,000,000",HKD,,,11.12A(4),https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-T2-4,HK,GEM,Mkt cap/rev/R&D test,revenue YoY growth across the 2 FYs,financials.revenue_yoy_growth_each_of_2fy,=,TRUE,bool,,Growth required over the period,11.12A(4),https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-T2-5,HK,GEM,Mkt cap/rev/R&D test,2-yr aggregate R&D expenditure,financials.rd_agg_2fy_hk,>=,"30,000,000",HKD,,,11.12A(4)(f),https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-T2-6,HK,GEM,Mkt cap/rev/R&D test,R&D ratio each FY (vs total operating expenditure),financials.rd_ratio_per_fy_hk,>=,15%,%,,Each of the 2 FYs,11.12A(4)(g),https://en-rules.hkex.com.hk/sites/default/files/pdf_documents/1.1A_Trading_Record_and_Financial_Eligibility_202405.pdf,2024-01-01,web_verified_2026-07-24,,,
GEM-C-1,HK,GEM,continuity,management continuity,profile.management_continuity_years,>=,2,FYs,,,11.12A,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-gem,2024-01-01,web_verified_2026-07-24,,,
GEM-C-2,HK,GEM,continuity,ownership continuity,profile.ownership_continuity_recent_audited_fy,=,TRUE,bool,,,11.12A,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-gem,2024-01-01,web_verified_2026-07-24,,,
GEM-C-3,HK,GEM,lock-up,controlling shareholder post-IPO lock-up,company.controlling_shareholder_lockup_months,>=,12,months,,"Reduced from 24 (2024 reform), aligned to MB",GEM Ch.13,https://en-rules.hkex.com.hk/rulebook/rules-governing-listing-securities-gem,2024-01-01,web_verified_2026-07-24,,,
SINGAPORE — SGX MAINBOARD  |  pack: sgx_mainboard.yaml (NEW)  |  Mainboard Rule 210(2) — meet >=1 of 3 (profit test S$10M effective 2025-10-29; 2026-05-15 amendment did not alter 210(2) values),,,,,,,,,,,,,,,,,
SG-S1-1,SG,SGX Mainboard,210(2)(a) profit test,pre-tax profit latest FY (excl. non-recurrent/extraordinary items),financials.income_statement[latest].pre_tax_profit_ex_nonrecurrent,>=,"10,000,000",SGD,,Audited consolidated; non-recurrent income and items outside ordinary course EXCLUDED per 210(3)(c); reduced from S$30M (keep in version history),210(2)(a) + 210(3)(c),https://rulebook.sgx.com/rulebook/210,2025-10-29,web_verified_2026-07-24,,,
SG-S1-2,SG,SGX Mainboard,210(2)(a),operating track record,profile.operating_track_record_years,>=,3,years,,,210(2)(a),https://rulebook.sgx.com/rulebook/210,2025-10-29,web_verified_2026-07-24,,,
SG-S2-1,SG,SGX Mainboard,210(2)(b),profitable latest FY (pre-tax),financials.income_statement[latest].pre_tax_profit_ex_nonrecurrent,>,0,SGD,,Non-recurrent exclusion of 210(3)(c) applies to BOTH (a) and (b) profit tests,210(2)(b) + 210(3)(c),https://rulebook.sgx.com/rulebook/210,2025-10-29,web_verified_2026-07-24,,,
SG-S2-2,SG,SGX Mainboard,210(2)(b),operating track record,profile.operating_track_record_years,>=,3,years,,,210(2)(b),https://rulebook.sgx.com/rulebook/210,current,web_verified_2026-07-24,,,
SG-S2-3,SG,SGX Mainboard,210(2)(b),market cap (issue price x post-invitation capital),offering.expected_market_cap_at_listing,>=,"150,000,000",SGD,,,210(2)(b),https://rulebook.sgx.com/rulebook/210,current,web_verified_2026-07-24,,,
SG-Q3-1,SG,SGX Mainboard,210(3)(a) — applies to (a) & (b),substantially same business AND substantially same management throughout the 3-yr track record,profile.business_management_continuity_3y,=,TRUE,bool,,SGX's continuity limb — analogous to HK 8.05 / CSRC Art.12(2),210(3)(a),https://rulebook.sgx.com/rulebook/210,current,web_verified_2026-07-24,,,
SG-S3-1,SG,SGX Mainboard,210(2)(c),operating revenue in latest completed FY (actual or pro forma),financials.income_statement[latest].revenue,>,0,SGD,,REIT/business-trust variant exists,210(2)(c),https://rulebook.sgx.com/rulebook/210,current,web_verified_2026-07-24,,,
SG-S3-2,SG,SGX Mainboard,210(2)(c),market cap,offering.expected_market_cap_at_listing,>=,"300,000,000",SGD,,,210(2)(c),https://rulebook.sgx.com/rulebook/210,current,web_verified_2026-07-24,,,
SG-F4-1,SG,SGX Mainboard,210(4)(d),audited FS in application/prospectus: no adverse / qualified / disclaimer opinion; no going-concern material uncertainty statement,profile.audit_opinion_type + going_concern_uncertainty_flag,=,clean opinion AND no GC uncertainty,enum,,Hard deterministic gate,210(4)(d),https://rulebook.sgx.com/rulebook/210,current,web_verified_2026-07-24,,,
SG-F4-2,SG,SGX Mainboard,210(4)(a),"healthy financial position, having regard to positive operating cash flow",soft: financial_health_sgx,=,DEFERRED_REVIEW,enum,,Judgment leaf,210(4)(a),https://rulebook.sgx.com/rulebook/210,current,web_verified_2026-07-24,,,
